Names,AbsoluteError_1item_4secs,AbsoluteError_3items_4secs,Misbinding_Simple_1item_4secs,Misbinding_Simple_3items_4secs,Guessing_Simple_1item_4secs,Guessing_Simple_3items_4secs,Target_Simple_1item_4secs,Target_Simple_3items_4secs,IdentificationTime_1item_4secs,IdentificationTime_3items_4secs,LocalisationTime_1item_4secs,LocalisationTime_3items_4secs,ProportionCorrect_1item_4secs,ProportionCorrect_3items_4secs,Imprecision_Simple_1item_4secs,Imprecision_Simple_3items_4secs
Short_Fractals1&3_Harmer_fencogp051v2_2022-06-17T10-21-10-193Z.mat,50.63529145,176.8277722,0,0.292010526,0.138452632,0.145515789,0.861547368,0.562473684,1.077526316,2.104894737,2.435526316,4.518052632,0.95,0.95,50.63529145,50.44996545
Short_Fractals1&3_Harmer_fencogp052v1_2022-06-11T11-14-46-711Z.mat,52.85614402,71.22646404,0,0.09775,0.04426,0.05601,0.95574,0.84624,1.1335,3.13705,2.2335,4.3435,1,1,52.85614402,65.44587239
Short_Fractals1&3_Harmer_fencogp052v2_2022-06-18T11-28-46-075Z.mat,51.78257347,65.20772093,0,0.05,0.052294737,0.06,0.947705263,0.89,0.888631579,2.43555,1.735947368,3.38295,0.95,1,51.78257347,56.15184295
Short_Fractals1&3_Harmer_fencogp053v1_2022-06-14T10-31-19-883Z.mat,32.04714861,108.2601936,0,0.0938,0.039810526,0.080611111,0.960189474,0.825588889,0.963210526,1.4085,3.477421053,4.305444444,0.95,0.9,32.04714861,65.97963891
Short_Fractals1&3_Harmer_fencogp053v2_2022-06-21T11-06-46-947Z.mat,33.07740947,110.7872779,0,0.144729412,0.0179,0.086411765,0.9821,0.768858824,0.8295,1.352941176,2.492833333,3.127411765,0.9,0.85,33.07740947,61.62556367
Short_Fractals1&3_Harmer_fencogp054v1_2022-06-15T10-53-29-712Z.mat,13.48845188,50.17093556,0,0.048377778,0.01354,0.061455556,0.98646,0.890166667,1.12175,1.800833333,2.88585,3.371833333,1,0.9,13.48845188,20.73378294
Short_Fractals1&3_Harmer_fencogp054v2_2022-06-22T11-37-09-091Z.mat,22.87314589,85.61116128,0,0.103115789,0.004831579,0.013821053,0.995168421,0.883063158,1.134631579,2.272842105,2.761368421,4.508736842,0.95,0.95,22.87314589,31.53819768
Short_Fractals1&3_Harmer_fencogp055v1_2022-06-20T11-13-11-163Z.mat,50.81890384,103.5222063,0,0.193344444,0.15178,0.200166667,0.84822,0.606488889,1.00695,1.780333333,2.5592,3.389833333,1,0.9,50.81890384,66.14482178
Short_Fractals1&3_Harmer_fencogp28v1_2022-03-08T12-09-27-275Z.mat,37.06058749,127.5310064,0,0.093377778,0.03932,0.138811111,0.96068,0.767811111,0.8983,1.829,2.16495,3.262611111,1,0.9,37.06058749,83.21886808
Short_Fractals1&3_Harmer_fencogp28v2_2022-03-16T11-38-50-236Z.mat,53.02776562,71.17986591,0,0,0.0092,0.03798,0.9908,0.96202,0.88315,1.71975,2.1968,3.6367,1,1,53.02776562,71.17986591
Short_Fractals1&3_Harmer_fencogp29v1_2022-03-09T12-34-57-206Z.mat,32.24589504,55.53044844,0,0.05,0.00695,0.01765,0.99305,0.93235,1.0827,3.1488,3.27855,6.48355,1,1,32.24589504,37.90901387
Short_Fractals1&3_Harmer_p014_fencog_1_2021-10-19T11-03-24-375Z.mat,45.12301418,89.36776058,0,0.18593,0.05992,0.11848,0.94008,0.69559,1.0118,2.4732,3.0444,4.3087,1,1,45.12301418,70.53036411
